Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
100001,2,3,2.418,23.31,0,1,1,True,8.13,5,1,6,2.393,86.44,0
100002,3,2,3.821,1.12,3,0,5,False,16.65,3,1,9,3.696,69.39,1
100003,1,0,3.398,21.26,4,1,2,False,10.35,5,2,9,3.499,73.93,2
100004,1,3,3.789,1.82,0,2,4,False,15.23,2,1,2,4.0,63.58,2
100005,4,4,3.635,9.29,1,0,4,False,12.55,4,1,4,3.798,100.0,2
100006,4,2,3.449,6.5,1,1,1,False,14.19,4,1,5,3.666,65.92,0
100007,4,0,3.622,31.41,4,0,5,True,13.11,8,1,7,4.0,67.97,2
100008,0,2,2.746,5.33,0,2,3,False,18.45,2,0,1,2.965,85.09,2
100009,1,4,3.42,2.0,1,1,2,True,2.87,1,2,5,3.396,55.71,2
100010,1,4,3.046,19.99,1,2,2,True,12.49,3,2,8,2.978,87.18,0
100011,4,1,3.407,5.16,4,0,3,False,11.43,5,1,3,3.617,95.42,0
100012,3,2,2.627,3.62,2,2,3,False,8.05,3,0,3,2.699,72.41,2
100013,0,3,3.479,2.86,0,1,2,False,8.95,2,0,4,3.612,67.68,0
100014,4,2,3.225,8.95,2,1,1,False,25.3,2,1,3,3.935,64.47,2
100015,4,0,3.202,1.22,0,1,1,False,16.52,2,1,4,3.122,70.7,1
100016,4,3,2.076,14.74,1,1,1,True,12.59,4,1,4,2.228,70.66,2
100017,2,4,2.931,2.08,2,0,3,False,15.15,5,2,8,3.214,59.69,2
100018,1,3,3.156,8.03,2,0,4,False,10.7,4,1,5,3.39,90.65,2
100019,2,2,2.975,0.51,4,1,1,False,10.84,1,1,2,3.412,53.95,2
100020,4,4,3.305,0.2,1,2,4,False,3.69,1,1,4,3.187,74.23,2
100021,1,4,2.636,1.63,0,2,4,False,18.71,4,2,3,2.758,78.28,1
100022,4,3,3.529,4.91,1,1,1,False,15.78,2,1,6,3.358,67.56,1
100023,4,2,3.551,10.48,0,2,2,True,2.75,2,1,3,3.749,68.81,2
100024,2,3,3.579,0.45,3,1,1,True,10.61,1,1,8,3.76,55.33,1
100025,2,0,2.364,28.72,0,1,1,False,8.24,8,2,7,2.588,63.38,2
100026,0,3,3.308,2.38,3,0,4,True,11.33,2,0,2,4.0,81.85,0
100027,4,4,3.338,18.62,1,0,5,True,14.29,6,1,2,3.822,82.36,2
100028,1,2,3.302,23.96,3,2,2,True,6.54,5,1,1,3.487,67.74,0
100029,1,0,3.282,0.68,3,1,1,False,17.89,1,0,4,3.088,74.67,1
100030,4,4,3.638,12.83,1,0,4,True,10.25,5,1,4,4.0,61.29,2
100031,1,3,3.731,1.26,2,2,4,True,16.16,2,1,6,3.989,88.44,1
100032,4,4,1.449,0.72,1,2,2,False,11.77,5,1,5,1.342,56.81,2
100033,4,1,2.856,1.27,2,0,3,False,16.16,3,1,5,3.276,74.03,2
100034,3,3,3.148,5.56,4,2,5,False,9.89,2,1,1,3.335,89.14,2
100035,3,1,3.12,19.92,4,1,2,True,1.0,7,1,3,3.207,67.2,0
100036,0,4,3.632,1.17,2,2,4,True,3.67,2,2,5,3.553,55.89,0
100037,2,0,3.303,0.29,0,0,3,False,7.46,1,1,5,3.145,75.11,1
100038,4,2,3.671,16.77,1,2,3,True,1.0,5,1,4,3.636,96.68,1
100039,1,4,2.403,1.58,3,2,4,True,13.34,1,1,5,2.365,74.3,0
100040,2,2,3.086,4.19,1,2,3,False,10.81,2,0,2,3.452,92.44,2
100041,4,3,2.31,7.17,1,0,3,True,8.95,5,1,8,2.686,84.71,2
100042,2,3,3.539,0.41,4,1,3,True,11.3,1,1,5,3.812,72.05,1
100043,4,0,3.777,8.06,1,1,3,False,8.42,3,1,4,3.909,68.22,2
100044,3,3,3.048,4.67,4,1,3,False,8.21,4,2,4,3.277,79.79,2
100045,4,2,3.013,14.47,1,2,3,False,9.36,4,1,7,3.447,62.75,1
100046,1,2,3.503,6.34,3,2,2,False,21.22,2,2,5,3.942,99.25,1
100047,2,4,3.842,6.26,0,2,1,False,11.84,4,1,3,4.0,76.67,2
100048,1,2,3.511,8.04,2,1,2,True,10.5,2,0,3,3.567,86.73,2
100049,1,3,2.645,8.78,3,2,3,False,5.97,1,2,3,2.884,87.51,0
100050,4,3,3.115,13.39,4,2,2,True,20.87,5,1,4,3.644,83.76,2
100051,3,4,3.577,11.13,4,0,4,True,15.85,3,2,6,4.0,61.2,0
100052,0,3,2.433,11.16,1,1,2,True,12.82,6,0,5,2.903,69.95,0
100053,3,4,2.958,11.36,4,2,3,True,9.52,5,1,6,3.155,59.46,1
100054,3,3,3.732,0.88,3,2,4,True,12.87,4,1,1,3.885,79.82,2
100055,1,2,3.148,0.16,4,1,1,False,15.1,2,1,5,3.393,62.77,2
100056,3,3,3.429,20.48,2,1,2,True,4.24,6,0,2,3.521,63.38,0
100057,4,2,3.837,2.23,3,0,4,True,14.06,4,2,4,3.988,60.88,2
100058,4,4,3.249,9.77,3,0,3,True,17.42,4,1,4,3.342,80.19,2
100059,4,2,3.015,2.7,1,1,2,False,18.28,3,1,4,3.394,83.39,2
100060,2,4,3.167,14.92,4,1,2,False,10.74,2,2,8,3.518,70.28,2
100061,2,4,3.697,6.6,3,0,3,False,10.29,4,2,5,3.914,77.49,1
100062,4,0,3.463,2.47,1,2,3,False,8.94,1,1,1,3.665,60.08,2
100063,0,3,2.164,17.37,0,1,1,False,10.06,6,2,5,2.339,77.44,0
100064,2,0,2.771,7.02,0,2,4,False,13.18,2,1,3,2.896,57.43,1
100065,4,1,3.569,8.2,3,2,1,False,17.15,2,0,4,3.922,75.58,1
